BuyAndHold,LongCall,Putwrite
-0.07311,-0.143748,-0.0993149
-0.0435446,-0.114653,-0.0366611
0.0198951,-0.0352511,0.0745596
-0.256773,-0.348372,-0.515692
0.181902,0.26336,0.229916
0.244308,0.373444,0.284139
-0.0613675,-0.132083,-0.074306
0.190359,0.278423,0.23743
-0.0268319,-0.0986021,-0.0016936
0.306291,0.48047,0.335366
0.184018,0.267133,0.231801
-0.0355375,-0.106928,-0.0198685
-0.314954,-0.423905,-0.659775
-0.185935,-0.264016,-0.348918
-0.167857,-0.243664,-0.307694
-0.167524,-0.243293,-0.306939
-0.262762,-0.355869,-0.530207
0.103764,0.121844,0.157838
0.115968,0.144237,0.169425
0.0717392,0.0625367,0.12681
-0.214024,-0.296552,-0.414009
-0.0118494,-0.0844452,0.0293892
0.234088,0.355581,0.275448
0.400978,0.64,0.40911
-0.049604,-0.120542,-0.0494178
0.204617,0.303714,0.249977
-0.0424014,-0.113546,-0.0342589
0.131589,0.172739,0.184074
0.149513,0.205224,0.200635
0.137982,0.184351,0.19001
-0.0667172,-0.137379,-0.0856789
-0.0362366,-0.1076,-0.0213319
-0.00452085,-0.0775985,0.0445043
0.471869,0.75663,0.461128
-0.0874083,-0.158153,-0.129996
0.00702082,-0.0598964,0.0611727
0.0857836,0.0886445,0.14053
0.0325314,-0.011205,0.0875358
0.130231,0.170267,0.182808
-0.199551,-0.279644,-0.380307
-0.0175,-0.0897591,0.0176952
0.238107,0.362614,0.278874
0.0855464,0.0882048,0.1403
0.245555,0.375619,0.285195
-0.0997548,-0.170775,-0.156697
-0.132401,-0.205001,-0.228267
0.388238,0.618795,0.399483
-0.131391,-0.203923,-0.226032
0.0945737,0.104906,0.149027
-0.114377,-0.185949,-0.188577
0.179114,0.258383,0.227427
0.331446,0.523299,0.355466
-0.206923,-0.288218,-0.397431
0.0862167,0.0894472,0.14095
-0.230108,-0.315711,-0.451882
-0.0635169,-0.134207,-0.0788714
0.305667,0.479404,0.334863
0.0195237,-0.03596,0.0741758
0.266115,0.41135,0.302448
-0.0361735,-0.10754,-0.0211996
0.0145229,-0.0455169,0.0689942
0.394909,0.629909,0.404536
0.245626,0.375743,0.285255
0.11977,0.15119,0.173009
0.0172595,-0.0402844,0.0718328
-0.164488,-0.23992,-0.300067
0.0876969,0.0921893,0.142385
0.292744,0.457264,0.324381
0.0496101,0.021075,0.104824
0.0067891,-0.0603414,0.0609302
0.277721,0.43141,0.312063
0.297719,0.465799,0.328429
-0.0199481,-0.0920708,0.012618
0.104587,0.123358,0.158623
0.191541,0.280524,0.238475
0.254691,0.391527,0.292896
-0.194576,-0.273903,-0.368803
0.303863,0.476318,0.333406
-0.162823,-0.238075,-0.296304
0.0403434,0.00359128,0.0954787
0.123721,0.158404,0.176721
0.108957,0.131386,0.162784
0.458006,0.733999,0.451156
0.0643266,0.048693,0.119496
0.151039,0.207979,0.202033
0.0533813,0.0281694,0.108603
0.263564,0.406929,0.300322
0.043718,0.00996658,0.0988914
-0.0484997,-0.119466,-0.0470896
0.0117946,-0.0507404,0.0661565
-0.10784,-0.179135,-0.17429
0.160522,0.225064,0.210679
0.137962,0.184314,0.189992
0.393459,0.627496,0.40344
0.0924244,0.100935,0.146955
-0.0735253,-0.144163,-0.100202
-0.0459221,-0.116959,-0.0416613
-0.055124,-0.12594,-0.061076
-0.216404,-0.299362,-0.419585
0.15191,0.209552,0.20283
0.124491,0.159809,0.177443
-0.00482677,-0.0778833,0.0438745
0.216567,0.324811,0.260379
-0.180145,-0.257448,-0.335659
0.0455853,0.0134902,0.100775
0.381207,0.60706,0.394133
-0.0443284,-0.115413,-0.0383087
